;ID;FECHA_UTC;HORA_UTC;LATITUD;LONGITUD;PROFUNDIDAD;MAGNITUD;FECHA_CORTE;geometry;UBICACION;MAGNITUD_CAT;PROFUNDIDAD_CAT;LUGAR
9809;9809;2001;64905;-4.3987;-77.965;28;4.5;20223006;POINT (-77.965 -4.3987);-4.3987,-77.965;Moderado;Superficial;Amazonas
9810;9810;2001;231240;-16.648;-72.5962;46;4.5;20223006;POINT (-72.5962 -16.648);-16.648,-72.5962;Moderado;Superficial;Arequipa
9812;9812;2001;75201;-4.3885;-80.5954;38;4.5;20223006;POINT (-80.5954 -4.3885);-4.3885,-80.5954;Moderado;Superficial;Piura
9813;9813;2001;34801;-6.5805;-77.1;51;4.9;20223006;POINT (-77.1 -6.5805);-6.5805,-77.1;Moderado;Superficial;San Martin
9814;9814;2001;105131;-16.5229;-72.5836;49;4.5;20223006;POINT (-72.5836 -16.5229);-16.5229,-72.5836;Moderado;Superficial;Arequipa
9815;9815;2001;133517;-8.1841;-74.1674;188;4.9;20223006;POINT (-74.1674 -8.1841);-8.1841,-74.1674;Moderado;Intermedia;Ucayali
9816;9816;2001;150743;-9.2214;-77.6636;24;4.6;20223006;POINT (-77.6636 -9.2214);-9.2214,-77.6636;Moderado;Superficial;Ancash
9817;9817;2001;185956;-14.8404;-70.968;221;6.0;20223006;POINT (-70.968 -14.8404);-14.8404,-70.968;Fuerte;Intermedia;Puno
9822;9822;2001;153921;-15.9807;-72.168;61;4.5;20223006;POINT (-72.168 -15.9807);-15.9807,-72.168;Moderado;Intermedia;Arequipa
9823;9823;2001;41407;-4.8652;-77.2048;35;4.9;20223006;POINT (-77.2048 -4.8652);-4.8652,-77.2048;Moderado;Superficial;Loreto
9833;9833;2001;180540;-8.3491;-74.4204;153;5.0;20223006;POINT (-74.4204 -8.3491);-8.3491,-74.4204;Moderado;Intermedia;Ucayali
