;ID;FECHA_UTC;HORA_UTC;LATITUD;LONGITUD;PROFUNDIDAD;MAGNITUD;FECHA_CORTE;geometry;UBICACION;MAGNITUD_CAT;PROFUNDIDAD_CAT;LUGAR
0;0;1960;154034;-16.145;-72.144;60;7.5;20223006;POINT (-72.144 -16.145);-16.145,-72.144;Fuerte;Intermedia;Arequipa
1;1;1960;93024;-15.0;-75.0;70;7.0;20223006;POINT (-75 -15);-15.0,-75.0;Fuerte;Intermedia;Ica
2;2;1960;25758;-14.5;-74.5;150;6.4;20223006;POINT (-74.5 -14.5);-14.5,-74.5;Fuerte;Intermedia;Ayacucho
4;4;1960;50724;-5.5;-77.5;100;5.7;20223006;POINT (-77.5 -5.5);-5.5,-77.5;Moderado;Intermedia;Loreto
5;5;1960;190616;-8.5;-74.5;136;5.3;20223006;POINT (-74.5 -8.5);-8.5,-74.5;Moderado;Intermedia;Ucayali
6;6;1960;204006;-17.5;-70.0;150;5.9;20223006;POINT (-70 -17.5);-17.5,-70.0;Moderado;Intermedia;Tacna
8;8;1960;131823;-14.5;-73.5;100;6.1;20223006;POINT (-73.5 -14.5);-14.5,-73.5;Fuerte;Intermedia;Apurimac
12;12;1960;20539;-15.0;-70.5;200;5.9;20223006;POINT (-70.5 -15);-15.0,-70.5;Moderado;Intermedia;Puno
17;17;1960;135833;-3.0;-75.9;146;6.4;20223006;POINT (-75.9 -3);-3.0,-75.9;Fuerte;Intermedia;Loreto
18;18;1960;165813;-16.0;-72.9;115;5.3;20223006;POINT (-72.9 -16);-16.0,-72.9;Moderado;Intermedia;Arequipa
19;19;1960;220219;-14.4;-71.6;55;5.3;20223006;POINT (-71.6 -14.4);-14.4,-71.6;Moderado;Superficial;Cusco
20;20;1960;65327;-16.1;-71.9;114;5.6;20223006;POINT (-71.9 -16.1);-16.1,-71.9;Moderado;Intermedia;Arequipa
22;22;1960;191706;-16.0;-74.0;33;5.8;20223006;POINT (-74 -16);-16.0,-74.0;Moderado;Superficial;Arequipa
23;23;1960;73831;-15.2;-73.5;28;5.2;20223006;POINT (-73.5 -15.2);-15.2,-73.5;Moderado;Superficial;Ayacucho
24;24;1960;34721;-16.2;-72.9;147;5.2;20223006;POINT (-72.9 -16.2);-16.2,-72.9;Moderado;Intermedia;Arequipa
25;25;1960;110336;-17.0;-70.0;47;5.6;20223006;POINT (-70 -17);-17.0,-70.0;Moderado;Superficial;Puno
26;26;1961;52146;-15.9;-73.1;135;5.1;20223006;POINT (-73.1 -15.9);-15.9,-73.1;Moderado;Intermedia;Arequipa
28;28;1961;80413;-10.4;-71.0;600;6.0;20223006;POINT (-71 -10.4);-10.4,-71.0;Fuerte;Profundo;Ucayali
30;30;1961;171747;-18.3;-70.2;29;5.3;20223006;POINT (-70.2 -18.3);-18.3,-70.2;Moderado;Superficial;Tacna
31;31;1961;175214;-13.2;-75.1;83;6.2;20223006;POINT (-75.1 -13.2);-13.2,-75.1;Fuerte;Intermedia;Huancavelica
32;32;1961;42156;-18.1;-70.3;60;5.3;20223006;POINT (-70.3 -18.1);-18.1,-70.3;Moderado;Intermedia;Tacna
33;33;1961;105630;-12.0;-75.3;29;5.5;20223006;POINT (-75.3 -12);-12.0,-75.3;Moderado;Superficial;Junin
34;34;1961;131040;-15.3;-74.8;68;5.8;20223006;POINT (-74.8 -15.3);-15.3,-74.8;Moderado;Intermedia;Arequipa
36;36;1961;54902;-6.2;-77.1;15;5.8;20223006;POINT (-77.1 -6.2);-6.2,-77.1;Moderado;Superficial;San Martin
39;39;1961;50949;-10.8;-71.0;649;7.0;20223006;POINT (-71 -10.8);-10.8,-71.0;Fuerte;Profundo;Madre de Dios
40;40;1961;91011;-11.5;-70.6;630;6.1;20223006;POINT (-70.6 -11.5);-11.5,-70.6;Fuerte;Profundo;Madre de Dios
41;41;1961;62819;-15.2;-70.2;185;5.3;20223006;POINT (-70.2 -15.2);-15.2,-70.2;Moderado;Intermedia;Puno
42;42;1961;212716;-14.1;-73.9;100;4.8;20223006;POINT (-73.9 -14.1);-14.1,-73.9;Moderado;Intermedia;Ayacucho
43;43;1961;34528;-3.9;-77.8;33;5.5;20223006;POINT (-77.8 -3.9);-3.9,-77.8;Moderado;Superficial;Amazonas
44;44;1961;14839;-10.4;-70.7;605;7.1;20223006;POINT (-70.7 -10.4);-10.4,-70.7;Fuerte;Profundo;Madre de Dios
45;45;1961;15708;-10.5;-70.7;629;7.5;20223006;POINT (-70.7 -10.5);-10.5,-70.7;Fuerte;Profundo;Madre de Dios
47;47;1961;111825;-11.1;-70.6;543;5.6;20223006;POINT (-70.6 -11.1);-11.1,-70.6;Moderado;Profundo;Madre de Dios
48;48;1961;122835;-13.3;-75.5;137;5.3;20223006;POINT (-75.5 -13.3);-13.3,-75.5;Moderado;Intermedia;Huancavelica
49;49;1961;193000;-13.98;-71.9;20;5.2;20223006;POINT (-71.9 -13.98);-13.98,-71.9;Moderado;Superficial;Cusco
50;50;1961;20734;-14.3;-71.9;68;5.6;20223006;POINT (-71.9 -14.3);-14.3,-71.9;Moderado;Intermedia;Cusco
51;51;1961;111728;-5.6;-80.3;61;6.1;20223006;POINT (-80.3 -5.6);-5.6,-80.3;Fuerte;Intermedia;Piura
52;52;1961;203809;-7.2;-76.4;33;5.8;20223006;POINT (-76.4 -7.2);-7.2,-76.4;Moderado;Superficial;San Martin
55;55;1962;52341;-18.1;-70.6;77;5.3;20223006;POINT (-70.6 -18.1);-18.1,-70.6;Moderado;Intermedia;Tacna
57;57;1962;21237;-15.7;-74.3;64;5.9;20223006;POINT (-74.3 -15.7);-15.7,-74.3;Moderado;Intermedia;Arequipa
58;58;1962;15237;-13.9;-72.6;91;5.0;20223006;POINT (-72.6 -13.9);-13.9,-72.6;Moderado;Intermedia;Apurimac
60;60;1962;205036;-14.9;-70.7;119;5.1;20223006;POINT (-70.7 -14.9);-14.9,-70.7;Moderado;Intermedia;Puno
63;63;1962;60515;-14.3;-75.5;100;5.2;20223006;POINT (-75.5 -14.3);-14.3,-75.5;Moderado;Intermedia;Ica
65;65;1962;131537;-17.5;-70.4;92;5.7;20223006;POINT (-70.4 -17.5);-17.5,-70.4;Moderado;Intermedia;Tacna
66;66;1962;62228;-17.4;-69.8;145;5.3;20223006;POINT (-69.8 -17.4);-17.4,-69.8;Moderado;Intermedia;Tacna
67;67;1962;32156;-15.6;-73.4;98;5.3;20223006;POINT (-73.4 -15.6);-15.6,-73.4;Moderado;Intermedia;Arequipa
69;69;1962;164531;-15.5;-73.1;137;5.2;20223006;POINT (-73.1 -15.5);-15.5,-73.1;Moderado;Intermedia;Arequipa
71;71;1962;75820;-17.1;-70.5;33;6.0;20223006;POINT (-70.5 -17.1);-17.1,-70.5;Fuerte;Superficial;Moquegua
72;72;1962;63329;-17.2;-69.7;153;5.3;20223006;POINT (-69.7 -17.2);-17.2,-69.7;Moderado;Intermedia;Puno
76;76;1962;174305;-8.4;-78.7;80;5.1;20223006;POINT (-78.7 -8.4);-8.4,-78.7;Moderado;Intermedia;La Libertad
77;77;1963;202051;-3.9;-76.8;102;6.0;20223006;POINT (-76.8 -3.9);-3.9,-76.8;Fuerte;Intermedia;Loreto
79;79;1963;193059;-8.3;-75.1;124;5.8;20223006;POINT (-75.1 -8.3);-8.3,-75.1;Moderado;Intermedia;Ucayali
80;80;1963;83235;-11.6;-75.0;47;4.9;20223006;POINT (-75 -11.6);-11.6,-75.0;Moderado;Superficial;Junin
81;81;1963;111809;-9.1;-77.1;33;4.6;20223006;POINT (-77.1 -9.1);-9.1,-77.1;Moderado;Superficial;Ancash
83;83;1963;53819;-15.1;-72.5;97;5.3;20223006;POINT (-72.5 -15.1);-15.1,-72.5;Moderado;Intermedia;Arequipa
84;84;1963;110042;-15.1;-73.6;105;5.5;20223006;POINT (-73.6 -15.1);-15.1,-73.6;Moderado;Intermedia;Ayacucho
90;90;1963;13559;-4.8;-78.4;33;4.9;20223006;POINT (-78.4 -4.8);-4.8,-78.4;Moderado;Superficial;Amazonas
91;91;1963;82626;-16.3;-73.0;95;5.0;20223006;POINT (-73 -16.3);-16.3,-73.0;Moderado;Intermedia;Arequipa
92;92;1963;4300;-18.0;-69.9;159;4.8;20223006;POINT (-69.9 -18);-18.0,-69.9;Moderado;Intermedia;Tacna
93;93;1963;22058;-6.2;-76.5;125;6.9;20223006;POINT (-76.5 -6.2);-6.2,-76.5;Fuerte;Intermedia;San Martin
96;96;1963;130522;-8.0;-74.4;143;4.9;20223006;POINT (-74.4 -8);-8.0,-74.4;Moderado;Intermedia;Ucayali
97;97;1963;141105;-14.1;-73.9;94;5.4;20223006;POINT (-73.9 -14.1);-14.1,-73.9;Moderado;Intermedia;Ayacucho
100;100;1963;153955;-5.3;-78.5;33;4.9;20223006;POINT (-78.5 -5.3);-5.3,-78.5;Moderado;Superficial;Amazonas
102;102;1963;12103;-15.3;-69.4;179;4.5;20223006;POINT (-69.4 -15.3);-15.3,-69.4;Moderado;Intermedia;Puno
105;105;1963;110949;-7.3;-75.2;43;4.8;20223006;POINT (-75.2 -7.3);-7.3,-75.2;Moderado;Superficial;Loreto
106;106;1963;124356;-8.8;-77.9;94;4.7;20223006;POINT (-77.9 -8.8);-8.8,-77.9;Moderado;Intermedia;Ancash
108;108;1963;142924;-3.2;-77.8;65;4.7;20223006;POINT (-77.8 -3.2);-3.2,-77.8;Moderado;Intermedia;Amazonas
109;109;1963;114735;-16.3;-72.2;90;4.6;20223006;POINT (-72.2 -16.3);-16.3,-72.2;Moderado;Intermedia;Arequipa
110;110;1963;163322;-12.5;-73.7;79;4.9;20223006;POINT (-73.7 -12.5);-12.5,-73.7;Moderado;Intermedia;Cusco
112;112;1963;183026;-15.0;-71.8;100;4.6;20223006;POINT (-71.8 -15);-15.0,-71.8;Moderado;Intermedia;Arequipa
113;113;1963;120724;-4.1;-80.9;34;5.1;20223006;POINT (-80.9 -4.1);-4.1,-80.9;Moderado;Superficial;Tumbes
116;116;1963;172506;-13.8;-69.3;543;7.8;20223006;POINT (-69.3 -13.8);-13.8,-69.3;Fuerte;Profundo;Puno
117;117;1963;230754;-14.2;-71.9;31;5.0;20223006;POINT (-71.9 -14.2);-14.2,-71.9;Moderado;Superficial;Cusco
118;118;1963;125655;-17.7;-70.1;158;4.7;20223006;POINT (-70.1 -17.7);-17.7,-70.1;Moderado;Intermedia;Tacna
122;122;1963;73608;-14.6;-73.6;176;4.5;20223006;POINT (-73.6 -14.6);-14.6,-73.6;Moderado;Intermedia;Ayacucho
124;124;1963;40036;-11.3;-77.6;33;4.9;20223006;POINT (-77.6 -11.3);-11.3,-77.6;Moderado;Superficial;Lima
126;126;1963;121047;-9.0;-75.0;82;4.6;20223006;POINT (-75 -9);-9.0,-75.0;Moderado;Intermedia;Huanuco
129;129;1963;74526;-14.7;-71.7;121;4.7;20223006;POINT (-71.7 -14.7);-14.7,-71.7;Moderado;Intermedia;Cusco
131;131;1963;11731;-4.8;-77.9;20;5.6;20223006;POINT (-77.9 -4.8);-4.8,-77.9;Moderado;Superficial;Amazonas
132;132;1963;231915;-4.9;-77.7;60;4.9;20223006;POINT (-77.7 -4.9);-4.9,-77.7;Moderado;Intermedia;Loreto
133;133;1963;160713;-12.5;-74.7;105;4.8;20223006;POINT (-74.7 -12.5);-12.5,-74.7;Moderado;Intermedia;Huancavelica
134;134;1963;31012;-3.5;-77.8;18;6.2;20223006;POINT (-77.8 -3.5);-3.5,-77.8;Fuerte;Superficial;Amazonas
135;135;1963;42448;-4.3;-78.3;146;4.7;20223006;POINT (-78.3 -4.3);-4.3,-78.3;Moderado;Intermedia;Amazonas
136;136;1963;73810;-15.6;-73.3;112;5.2;20223006;POINT (-73.3 -15.6);-15.6,-73.3;Moderado;Intermedia;Arequipa
137;137;1963;120228;-3.7;-78.3;33;4.9;20223006;POINT (-78.3 -3.7);-3.7,-78.3;Moderado;Superficial;Amazonas
139;139;1963;10107;-12.8;-73.9;86;4.9;20223006;POINT (-73.9 -12.8);-12.8,-73.9;Moderado;Intermedia;Ayacucho
140;140;1963;12846;-4.2;-77.7;170;4.6;20223006;POINT (-77.7 -4.2);-4.2,-77.7;Moderado;Intermedia;Amazonas
141;141;1963;183325;-16.7;-69.7;174;5.1;20223006;POINT (-69.7 -16.7);-16.7,-69.7;Moderado;Intermedia;Puno
142;142;1963;192254;-3.7;-78.2;33;4.9;20223006;POINT (-78.2 -3.7);-3.7,-78.2;Moderado;Superficial;Amazonas
145;145;1963;122645;-15.8;-72.4;33;4.5;20223006;POINT (-72.4 -15.8);-15.8,-72.4;Moderado;Superficial;Arequipa
146;146;1963;1852;-4.7;-76.8;152;4.8;20223006;POINT (-76.8 -4.7);-4.7,-76.8;Moderado;Intermedia;Loreto
149;149;1963;21941;-16.6;-72.1;79;5.3;20223006;POINT (-72.1 -16.6);-16.6,-72.1;Moderado;Intermedia;Arequipa
150;150;1963;15845;-15.1;-73.7;124;5.1;20223006;POINT (-73.7 -15.1);-15.1,-73.7;Moderado;Intermedia;Ayacucho
155;155;1963;14213;-7.4;-76.0;33;4.5;20223006;POINT (-76 -7.4);-7.4,-76.0;Moderado;Superficial;Loreto
158;158;1963;104804;-5.2;-80.8;55;5.5;20223006;POINT (-80.8 -5.2);-5.2,-80.8;Moderado;Superficial;Piura
160;160;1963;959;-13.4;-72.7;42;4.6;20223006;POINT (-72.7 -13.4);-13.4,-72.7;Moderado;Superficial;Cusco
162;162;1964;132751;-5.3;-76.0;106;4.7;20223006;POINT (-76 -5.3);-5.3,-76.0;Moderado;Intermedia;Loreto
163;163;1964;183356;-7.98;-74.35;147;5.5;20223006;POINT (-74.35 -7.98);-7.98,-74.35;Moderado;Intermedia;Ucayali
164;164;1964;53704;-17.52;-69.79;167;4.7;20223006;POINT (-69.79 -17.52);-17.52,-69.79;Moderado;Intermedia;Tacna
165;165;1964;142153;-11.71;-74.72;152;4.7;20223006;POINT (-74.72 -11.71);-11.71,-74.72;Moderado;Intermedia;Junin
166;166;1964;132722;-3.44;-77.5;33;4.6;20223006;POINT (-77.5 -3.44);-3.44,-77.5;Moderado;Superficial;Loreto
167;167;1964;90935;-16.36;-71.62;116;6.2;20223006;POINT (-71.62 -16.36);-16.36,-71.62;Fuerte;Intermedia;Arequipa
168;168;1964;130350;-14.82;-71.85;136;4.6;20223006;POINT (-71.85 -14.82);-14.82,-71.85;Moderado;Intermedia;Cusco
169;169;1964;114737;-3.226;-77.77;87;5.4;20223006;POINT (-77.77 -3.226);-3.226,-77.77;Moderado;Intermedia;Loreto
170;170;1964;62453;-4.26;-80.8;100;4.5;20223006;POINT (-80.8 -4.26);-4.26,-80.8;Moderado;Intermedia;Piura
171;171;1964;73808;-4.0;-80.79;67;4.9;20223006;POINT (-80.79 -4);-4.0,-80.79;Moderado;Intermedia;Tumbes
172;172;1964;44606;-7.68;-76.0;33;4.6;20223006;POINT (-76 -7.68);-7.68,-76.0;Moderado;Superficial;Loreto
173;173;1964;100338;-7.65;-75.67;35;4.9;20223006;POINT (-75.67 -7.65);-7.65,-75.67;Moderado;Superficial;Loreto
174;174;1964;103323;-8.3;-78.0;33;4.9;20223006;POINT (-78 -8.3);-8.3,-78.0;Moderado;Superficial;Ancash
175;175;1964;62912;-17.16;-70.72;134;4.5;20223006;POINT (-70.72 -17.16);-17.16,-70.72;Moderado;Intermedia;Moquegua
176;176;1964;72223;-9.32;-74.54;77;4.9;20223006;POINT (-74.54 -9.32);-9.32,-74.54;Moderado;Intermedia;Ucayali
177;177;1964;105743;-13.759;-75.62;65;4.9;20223006;POINT (-75.62 -13.759);-13.759,-75.62;Moderado;Intermedia;Ica
179;179;1964;215213;-7.34;-79.15;36;4.8;20223006;POINT (-79.15 -7.34);-7.34,-79.15;Moderado;Superficial;Cajamarca
181;181;1964;183834;-3.37;-78.0;33;5.0;20223006;POINT (-78 -3.37);-3.37,-78.0;Moderado;Superficial;Amazonas
185;185;1964;21402;-7.8;-75.4;33;4.7;20223006;POINT (-75.4 -7.8);-7.8,-75.4;Moderado;Superficial;Loreto
186;186;1964;222904;-15.483;-72.98;117;5.1;20223006;POINT (-72.98 -15.483);-15.483,-72.98;Moderado;Intermedia;Arequipa
187;187;1964;70537;-5.642;-77.02;116;5.5;20223006;POINT (-77.02 -5.642);-5.642,-77.02;Moderado;Intermedia;Loreto
188;188;1964;175118;-14.196;-75.661;59;4.8;20223006;POINT (-75.661 -14.196);-14.196,-75.661;Moderado;Superficial;Ica
189;189;1964;63619;-5.4;-79.4;33;4.5;20223006;POINT (-79.4 -5.4);-5.4,-79.4;Moderado;Superficial;Piura
190;190;1964;52506;-5.137;-76.55;120;5.2;20223006;POINT (-76.55 -5.137);-5.137,-76.55;Moderado;Intermedia;Loreto
193;193;1964;160109;-16.27;-73.4;100;4.5;20223006;POINT (-73.4 -16.27);-16.27,-73.4;Moderado;Intermedia;Arequipa
195;195;1964;60911;-14.37;-75.7;68;4.6;20223006;POINT (-75.7 -14.37);-14.37,-75.7;Moderado;Intermedia;Ica
196;196;1964;194132;-13.787;-75.138;86;4.9;20223006;POINT (-75.138 -13.787);-13.787,-75.138;Moderado;Intermedia;Huancavelica
197;197;1964;114615;-15.69;-70.46;219;4.5;20223006;POINT (-70.46 -15.69);-15.69,-70.46;Moderado;Intermedia;Puno
199;199;1964;193331;-17.3;-70.1;127;4.7;20223006;POINT (-70.1 -17.3);-17.3,-70.1;Moderado;Intermedia;Tacna
200;200;1964;40801;-3.408;-78.089;26;4.9;20223006;POINT (-78.089 -3.408);-3.408,-78.089;Moderado;Superficial;Amazonas
201;201;1964;175948;-16.52;-72.2;88;4.9;20223006;POINT (-72.2 -16.52);-16.52,-72.2;Moderado;Intermedia;Arequipa
202;202;1964;192541;-14.3;-75.8;14;4.9;20223006;POINT (-75.8 -14.3);-14.3,-75.8;Moderado;Superficial;Ica
205;205;1964;113016;-15.56;-70.86;185;4.5;20223006;POINT (-70.86 -15.56);-15.56,-70.86;Moderado;Intermedia;Puno
206;206;1964;41505;-12.15;-73.53;81;4.8;20223006;POINT (-73.53 -12.15);-12.15,-73.53;Moderado;Intermedia;Junin
207;207;1964;164207;-16.3;-69.2;235;4.6;20223006;POINT (-69.2 -16.3);-16.3,-69.2;Moderado;Intermedia;Puno
208;208;1964;124959;-13.404;-74.848;103;5.4;20223006;POINT (-74.848 -13.404);-13.404,-74.848;Moderado;Intermedia;Ayacucho
210;210;1964;74931;-5.19;-78.6;33;4.7;20223006;POINT (-78.6 -5.19);-5.19,-78.6;Moderado;Superficial;Amazonas
211;211;1964;114603;-9.758;-76.306;121;5.7;20223006;POINT (-76.306 -9.758);-9.758,-76.306;Moderado;Intermedia;Huanuco
212;212;1964;3252;-14.93;-72.1;108;4.6;20223006;POINT (-72.1 -14.93);-14.93,-72.1;Moderado;Intermedia;Arequipa
214;214;1964;153130;-4.77;-77.9;40;4.9;20223006;POINT (-77.9 -4.77);-4.77,-77.9;Moderado;Superficial;Amazonas
216;216;1964;65448;-15.29;-73.413;95;5.3;20223006;POINT (-73.413 -15.29);-15.29,-73.413;Moderado;Intermedia;Ayacucho
217;217;1964;3012;-3.73;-78.1;53;5.0;20223006;POINT (-78.1 -3.73);-3.73,-78.1;Moderado;Superficial;Amazonas
218;218;1964;224920;-14.31;-73.256;84;5.6;20223006;POINT (-73.256 -14.31);-14.31,-73.256;Moderado;Intermedia;Apurimac
219;219;1964;90937;-11.5;-74.36;7;5.0;20223006;POINT (-74.36 -11.5);-11.5,-74.36;Moderado;Superficial;Junin
220;220;1964;121346;-16.45;-72.53;81;5.7;20223006;POINT (-72.53 -16.45);-16.45,-72.53;Moderado;Intermedia;Arequipa
221;221;1964;221459;-10.24;-75.11;135;5.3;20223006;POINT (-75.11 -10.24);-10.24,-75.11;Moderado;Intermedia;Pasco
222;222;1964;191644;-15.98;-71.6;136;5.3;20223006;POINT (-71.6 -15.98);-15.98,-71.6;Moderado;Intermedia;Arequipa
224;224;1964;81405;-17.25;-69.63;5;4.7;20223006;POINT (-69.63 -17.25);-17.25,-69.63;Moderado;Superficial;Puno
225;225;1964;130622;-5.14;-78.7;33;4.6;20223006;POINT (-78.7 -5.14);-5.14,-78.7;Moderado;Superficial;Amazonas
226;226;1964;73453;-16.764;-71.111;99;5.2;20223006;POINT (-71.111 -16.764);-16.764,-71.111;Moderado;Intermedia;Moquegua
228;228;1964;2653;-7.32;-74.51;156;5.5;20223006;POINT (-74.51 -7.32);-7.32,-74.51;Moderado;Intermedia;Ucayali
229;229;1964;140038;-6.92;-75.26;15;4.9;20223006;POINT (-75.26 -6.92);-6.92,-75.26;Moderado;Superficial;Loreto
231;231;1964;74114;-15.78;-72.945;106;5.3;20223006;POINT (-72.945 -15.78);-15.78,-72.945;Moderado;Intermedia;Arequipa
233;233;1964;132744;-8.3;-74.9;125;5.0;20223006;POINT (-74.9 -8.3);-8.3,-74.9;Moderado;Intermedia;Ucayali
234;234;1964;184614;-8.53;-74.29;159;4.6;20223006;POINT (-74.29 -8.53);-8.53,-74.29;Moderado;Intermedia;Ucayali
235;235;1964;203152;-16.36;-69.35;139;4.5;20223006;POINT (-69.35 -16.36);-16.36,-69.35;Moderado;Intermedia;Puno
237;237;1964;124932;-10.749;-75.057;151;4.9;20223006;POINT (-75.057 -10.749);-10.749,-75.057;Moderado;Intermedia;Junin
238;238;1964;181907;-13.1;-75.1;117;4.7;20223006;POINT (-75.1 -13.1);-13.1,-75.1;Moderado;Intermedia;Huancavelica
241;241;1964;74533;-13.46;-72.6;44;4.9;20223006;POINT (-72.6 -13.46);-13.46,-72.6;Moderado;Superficial;Cusco
242;242;1964;30708;-13.5;-72.67;54;4.9;20223006;POINT (-72.67 -13.5);-13.5,-72.67;Moderado;Superficial;Cusco
243;243;1964;65101;-4.011;-76.742;105;6.0;20223006;POINT (-76.742 -4.011);-4.011,-76.742;Fuerte;Intermedia;Loreto
244;244;1964;184856;-13.68;-75.34;81;5.3;20223006;POINT (-75.34 -13.68);-13.68,-75.34;Moderado;Intermedia;Huancavelica
246;246;1964;1202;-10.5;-75.7;94;4.8;20223006;POINT (-75.7 -10.5);-10.5,-75.7;Moderado;Intermedia;Pasco
247;247;1964;40401;-13.315;-75.265;94;4.8;20223006;POINT (-75.265 -13.315);-13.315,-75.265;Moderado;Intermedia;Huancavelica
248;248;1964;172425;-4.87;-76.7;109;4.9;20223006;POINT (-76.7 -4.87);-4.87,-76.7;Moderado;Intermedia;Loreto
251;251;1964;31538;-15.53;-70.6;168;5.0;20223006;POINT (-70.6 -15.53);-15.53,-70.6;Moderado;Intermedia;Puno
252;252;1964;155553;-6.613;-76.352;132;5.2;20223006;POINT (-76.352 -6.613);-6.613,-76.352;Moderado;Intermedia;San Martin
253;253;1964;162011;-7.15;-76.77;33;5.2;20223006;POINT (-76.77 -7.15);-7.15,-76.77;Moderado;Superficial;San Martin
254;254;1964;111805;-16.46;-72.87;108;4.7;20223006;POINT (-72.87 -16.46);-16.46,-72.87;Moderado;Intermedia;Arequipa
256;256;1965;52510;-15.91;-71.04;69;4.9;20223006;POINT (-71.04 -15.91);-15.91,-71.04;Moderado;Intermedia;Arequipa
258;258;1965;115730;-3.1;-76.7;30;4.9;20223006;POINT (-76.7 -3.1);-3.1,-76.7;Moderado;Superficial;Loreto
259;259;1965;141722;-15.5;-70.89;0;4.8;20223006;POINT (-70.89 -15.5);-15.5,-70.89;Moderado;Superficial;Puno
263;263;1965;133651;-9.747;-74.983;36;5.6;20223006;POINT (-74.983 -9.747);-9.747,-74.983;Moderado;Superficial;Huanuco
265;265;1965;144826;-8.4;-74.5;33;4.7;20223006;POINT (-74.5 -8.4);-8.4,-74.5;Moderado;Superficial;Ucayali
266;266;1965;223639;-9.478;-74.474;115;4.7;20223006;POINT (-74.474 -9.478);-9.478,-74.474;Moderado;Intermedia;Ucayali
267;267;1965;165415;-14.379;-75.757;57;4.7;20223006;POINT (-75.757 -14.379);-14.379,-75.757;Moderado;Superficial;Ica
269;269;1965;100524;-5.9;-77.6;69;4.9;20223006;POINT (-77.6 -5.9);-5.9,-77.6;Moderado;Intermedia;San Martin
270;270;1965;223219;-10.068;-71.101;585;5.5;20223006;POINT (-71.101 -10.068);-10.068,-71.101;Moderado;Profundo;Ucayali
271;271;1965;230150;-7.52;-74.68;138;4.9;20223006;POINT (-74.68 -7.52);-7.52,-74.68;Moderado;Intermedia;Loreto
273;273;1965;25552;-13.52;-72.79;40;4.6;20223006;POINT (-72.79 -13.52);-13.52,-72.79;Moderado;Superficial;Apurimac
275;275;1965;225446;-5.799;-77.856;38;5.3;20223006;POINT (-77.856 -5.799);-5.799,-77.856;Moderado;Superficial;Amazonas
278;278;1965;53028;-15.277;-72.432;118;5.0;20223006;POINT (-72.432 -15.277);-15.277,-72.432;Moderado;Intermedia;Arequipa
280;280;1965;200943;-8.83;-74.413;143;5.5;20223006;POINT (-74.413 -8.83);-8.83,-74.413;Moderado;Intermedia;Ucayali
283;283;1965;20010;-5.72;-75.6;33;4.9;20223006;POINT (-75.6 -5.72);-5.72,-75.6;Moderado;Superficial;Loreto
284;284;1965;221405;-5.997;-78.642;111;5.0;20223006;POINT (-78.642 -5.997);-5.997,-78.642;Moderado;Intermedia;Cajamarca
285;285;1965;52447;-13.68;-75.896;78;5.2;20223006;POINT (-75.896 -13.68);-13.68,-75.896;Moderado;Intermedia;Ica
286;286;1965;94212;-14.205;-76.155;70;4.7;20223006;POINT (-76.155 -14.205);-14.205,-76.155;Moderado;Intermedia;Ica
288;288;1965;91358;-13.861;-75.861;89;5.0;20223006;POINT (-75.861 -13.861);-13.861,-75.861;Moderado;Intermedia;Ica
289;289;1965;222240;-13.7;-71.6;20;4.8;20223006;POINT (-71.6 -13.7);-13.7,-71.6;Moderado;Superficial;Cusco
290;290;1965;195901;-2.796;-77.233;112;5.2;20223006;POINT (-77.233 -2.796);-2.796,-77.233;Moderado;Intermedia;Loreto
291;291;1965;83521;-17.335;-70.692;107;4.9;20223006;POINT (-70.692 -17.335);-17.335,-70.692;Moderado;Intermedia;Tacna
294;294;1965;95515;-3.77;-80.76;30;4.9;20223006;POINT (-80.76 -3.77);-3.77,-80.76;Moderado;Superficial;Tumbes
295;295;1965;42516;-10.1;-74.4;33;4.6;20223006;POINT (-74.4 -10.1);-10.1,-74.4;Moderado;Superficial;Pasco
298;298;1965;204110;-13.74;-71.6;73;4.7;20223006;POINT (-71.6 -13.74);-13.74,-71.6;Moderado;Intermedia;Cusco
299;299;1965;54650;-4.01;-78.2;33;4.7;20223006;POINT (-78.2 -4.01);-4.01,-78.2;Moderado;Superficial;Amazonas
300;300;1965;33750;-4.67;-80.6;33;4.7;20223006;POINT (-80.6 -4.67);-4.67,-80.6;Moderado;Superficial;Piura
301;301;1965;224518;-11.217;-73.661;111;5.6;20223006;POINT (-73.661 -11.217);-11.217,-73.661;Moderado;Intermedia;Junin
302;302;1965;104641;-3.67;-77.89;25;4.9;20223006;POINT (-77.89 -3.67);-3.67,-77.89;Moderado;Superficial;Amazonas
304;304;1965;165405;-15.62;-70.61;191;4.8;20223006;POINT (-70.61 -15.62);-15.62,-70.61;Moderado;Intermedia;Puno
305;305;1965;55514;-9.124;-72.975;49;4.9;20223006;POINT (-72.975 -9.124);-9.124,-72.975;Moderado;Superficial;Ucayali
308;308;1965;10948;-7.65;-76.93;42;4.9;20223006;POINT (-76.93 -7.65);-7.65,-76.93;Moderado;Superficial;San Martin
309;309;1965;22816;-7.75;-76.9;49;4.9;20223006;POINT (-76.9 -7.75);-7.75,-76.9;Moderado;Superficial;San Martin
312;312;1965;175802;-13.2;-75.1;102;4.5;20223006;POINT (-75.1 -13.2);-13.2,-75.1;Moderado;Intermedia;Huancavelica
